Month,learn sql,learn python
2004-01,72,87
2004-02,84,33
2004-03,0,2
2004-04,29,0
2004-05,32,20
2004-06,32,0
2004-07,54,2
2004-08,0,53
2004-09,75,1
2004-10,100,0
2004-11,42,0
2004-12,25,26
2005-01,1,1
2005-02,60,57
2005-03,22,26
2005-04,29,22
2005-05,50,1
2005-06,62,0
2005-07,26,0
2005-08,29,0
2005-09,56,0
2005-10,14,18
2005-11,39,13
2005-12,12,0
2006-01,0,0
2006-02,30,0
2006-03,0,0
2006-04,25,0
2006-05,28,20
2006-06,26,0
2006-07,27,0
2006-08,27,25
2006-09,18,15
2006-10,42,0
2006-11,21,0
2006-12,0,0
2007-01,23,11
2007-02,18,16
2007-03,29,0
2007-04,21,14
2007-05,22,0
2007-06,20,14
2007-07,21,15
2007-08,31,14
2007-09,30,7
2007-10,20,6
2007-11,22,7
2007-12,7,23
2008-01,25,0
2008-02,26,9
2008-03,26,10
2008-04,25,20
2008-05,21,9
2008-06,29,20
2008-07,22,6
2008-08,28,14
2008-09,29,7
2008-10,16,8
2008-11,40,9
2008-12,6,11
2009-01,16,8
2009-02,8,13
2009-03,22,14
2009-04,12,17
2009-05,18,17
2009-06,10,0
2009-07,13,7
2009-08,10,0
2009-09,26,12
2009-10,14,6
2009-11,14,8
2009-12,0,10
2010-01,11,8
2010-02,11,4
2010-03,23,5
2010-04,25,7
2010-05,17,7
2010-06,4,5
2010-07,12,9
2010-08,16,6
2010-09,13,9
2010-10,3,12
2010-11,10,3
2010-12,13,5
2011-01,12,20
2011-02,11,14
2011-03,14,11
2011-04,13,13
2011-05,11,13
2011-06,16,21
2011-07,15,20
2011-08,12,11
2011-09,11,14
2011-10,13,15
2011-11,14,13
2011-12,14,17
2012-01,16,20
2012-02,13,19
2012-03,16,34
2012-04,12,20
2012-05,9,25
2012-06,20,23
2012-07,12,29
2012-08,8,33
2012-09,15,27
2012-10,17,23
2012-11,8,27
2012-12,8,27
2013-01,13,27
2013-02,17,32
2013-03,17,39
2013-04,16,28
2013-05,18,33
2013-06,9,35
2013-07,8,35
2013-08,13,35
2013-09,20,37
2013-10,14,41
2013-11,16,32
2013-12,15,37
2014-01,11,33
2014-02,17,46
2014-03,13,35
2014-04,13,38
2014-05,14,25
2014-06,16,36
2014-07,13,39
2014-08,11,37
2014-09,21,31
2014-10,17,45
2014-11,19,43
2014-12,13,32
2015-01,16,45
2015-02,18,49
2015-03,13,48
2015-04,20,45
2015-05,14,39
2015-06,21,48
2015-07,14,40
2015-08,19,45
2015-09,17,60
2015-10,17,47
2015-11,17,50
2015-12,14,57
2016-01,13,37
2016-02,14,46
2016-03,15,39
2016-04,17,39
2016-05,7,39
2016-06,12,39
2016-07,14,37
2016-08,11,45
2016-09,19,52
2016-10,14,47
2016-11,18,52
2016-12,13,39
2017-01,13,59
2017-02,15,60
2017-03,16,61
2017-04,16,58
2017-05,17,64
2017-06,18,64
2017-07,15,56
2017-08,19,63
2017-09,17,63
2017-10,20,66
2017-11,19,75
2017-12,9,61
2018-01,19,67
2018-02,17,75
2018-03,17,64
2018-04,12,56
2018-05,23,54
2018-06,14,55
2018-07,16,53
2018-08,19,57
2018-09,14,72
2018-10,18,76
2018-11,13,66
2018-12,12,49
2019-01,11,59
2019-02,16,62
2019-03,15,61
2019-04,12,66
2019-05,18,55
2019-06,16,68
2019-07,15,60
2019-08,13,64
2019-09,20,69
2019-10,16,68
2019-11,14,79
2019-12,11,61
2020-01,19,72
2020-02,15,76
2020-03,18,77
2020-04,17,92
2020-05,13,87
2020-06,18,78
2020-07,15,76
2020-08,11,57
2020-09,14,67
2020-10,12,61
2020-11,15,50
2020-12,7,57
2021-01,8,54
2021-02,10,52
2021-03,10,54
2021-04,6,41
2021-05,7,49
2021-06,10,42
2021-07,6,48
2021-08,7,44
2021-09,9,44
2021-10,10,43
2021-11,9,45
2021-12,9,51
2022-01,15,72
2022-02,20,78
2022-03,16,80
2022-04,22,76
2022-05,19,72
2022-06,16,76
2022-07,19,77
2022-08,16,70
2022-09,26,77
2022-10,23,87
2022-11,20,73
2022-12,21,67
2023-01,19,89
2023-02,24,77
2023-03,24,79
2023-04,19,75
2023-05,21,67
2023-06,15,75
2023-07,22,71
2023-08,18,66
2023-09,21,76
2023-10,16,69
2023-11,16,64
2023-12,9,66
2024-01,18,75
